err,prob,
0,1.79762e-05,
0,3.59525e-05,
0,5.39287e-05,
0,7.19049e-05,
0,8.98812e-05,
0,0.000107857,
0,0.000125834,
0,0.00014381,
0,0.000161786,
0,0.000179762,
0,0.000197739,
0,0.000215715,
0,0.000233691,
0,0.000251667,
0,0.000269644,
0,0.00028762,
0,0.000305596,
0,0.000323572,
0,0.000341548,
0,0.000359525,
0,0.000377501,
0,0.000395477,
0,0.000413453,
0,0.00043143,
0,0.000449406,
0,0.000467382,
0,0.000485358,
0,0.000503335,
0,0.000521311,
0,0.000539287,
0,0.000557263,
0,0.00057524,
0,0.000593216,
0,0.000611192,
0,0.000629168,
0,0.000647144,
0,0.000665121,
0,0.000683097,
0,0.000701073,
0,0.000719049,
0,0.000737026,
0,0.000755002,
0,0.000772978,
0,0.000790954,
0,0.000808931,
0,0.000826907,
0,0.000844883,
0,0.000862859,
0,0.000880836,
0,0.000898812,
0,0.000916788,
0,0.000934764,
0,0.00095274,
0,0.000970717,
0,0.000988693,
0,0.00100667,
0,0.00102465,
0,0.00104262,
0,0.0010606,
0,0.00107857,
0,0.00109655,
0,0.00111453,
0,0.0011325,
0,0.00115048,
0,0.00116846,
0,0.00118643,
0,0.00120441,
0,0.00122238,
0,0.00124036,
0,0.00125834,
0,0.00127631,
0,0.00129429,
0,0.00131227,
0,0.00133024,
0,0.00134822,
0,0.00136619,
0,0.00138417,
0,0.00140215,
0,0.00142012,
0,0.0014381,
0,0.00145608,
0,0.00147405,
0,0.00149203,
0,0.00151,
0,0.00152798,
0,0.00154596,
0,0.00156393,
0,0.00158191,
0,0.00159988,
0,0.00161786,
0,0.00163584,
0,0.00165381,
0,0.00167179,
0,0.00168977,
0,0.00170774,
0,0.00172572,
0,0.00174369,
0,0.00176167,
0,0.00177965,
0,0.00179762,
0,0.0018156,
0,0.00183358,
0,0.00185155,
0,0.00186953,
0,0.0018875,
0,0.00190548,
0,0.00192346,
0,0.00194143,
0,0.00195941,
0,0.00197739,
0,0.00199536,
0,0.00201334,
0,0.00203131,
0,0.00204929,
0,0.00206727,
0,0.00208524,
0,0.00210322,
0,0.0021212,
0,0.00213917,
0,0.00215715,
0,0.00217512,
0,0.0021931,
0,0.00221108,
0,0.00222905,
0,0.00224703,
0,0.00226501,
0,0.00228298,
0,0.00230096,
0,0.00231893,
0,0.00233691,
0,0.00235489,
0,0.00237286,
0,0.00239084,
0,0.00240882,
0,0.00242679,
0,0.00244477,
0,0.00246274,
0,0.00248072,
0,0.0024987,
0,0.00251667,
